StudentID,G3
1000,16.07
1008,11.1
1013,14.18
1014,6.96
1017,11.02
1018,14.27
1021,17.96
1024,12.81
1025,12.87
1031,12.49
1033,10.74
1035,9.28
1036,12.7
1037,16.21
1040,12.8
1043,0.25
1046,9.85
1047,15.48
1049,10.47
1051,2.67
1053,11.99
1057,8.62
1058,15.64
1059,11.03
1060,8.69
1061,10.73
1062,8.51
1066,9.96
1070,9.7
1071,12.2
1076,8.18
1079,13.45
1084,14.45
1085,14.89
1087,0.46
1088,9.28
1096,3.46
1098,16.9
1100,11.01
1103,9.64
1104,12.64
1114,12.97
1119,12.3
1122,12.93
1134,0.16
1136,10.59
1139,14.52
1143,9.17
1149,8.73
1153,11.36
1155,10.36
1157,9.52
1158,13.41
1160,14.92
1164,9.68
1165,10.04
1166,15.2
1167,8.72
1168,18.05
1169,17.48
1178,8.69
1183,18.05
1187,9.98
1192,15.02
1193,9.76
1194,10.4
1205,10.43
1211,12.69
1212,11.02
1214,15.75
1215,9.23
1216,9.66
1217,8.73
1226,10.75
1229,14.81
1231,11.44
1232,0.72
1237,10.73
1240,6.83
1243,11.47
1244,12.9
1248,12.57
1250,12.74
1251,16.29
1255,12.52
1258,8.15
1260,13.31
1261,11.86
1272,15.31
1273,13.45
1274,14.39
1279,12.44
1281,2.26
1286,11.51
1288,17.96
1289,18.07
1295,15.6
1298,15.31
1300,3.23
1303,8.09
1306,13.49
1307,15.08
1310,6.47
1311,15.96
1313,12.42
1315,9.9
1316,12.98
1324,12.44
1326,13.81
1330,10.02
1331,8.09
1336,15.12
1338,12.54
1339,11.05
1340,10.07
1343,14.7
1346,14.36
1350,12.85
1355,13.35
1356,10.46
1364,12.72
1365,15.46
1369,10.63
1371,8.47
1379,12.85
1385,16.63
1386,10.97
1391,13.09
1399,9.51
1403,15.65
1407,14.39
1408,11.45
1413,10.61
1417,9.81
1418,13.01
1422,12.3
1423,11.01
1424,8.83
1426,15.75
1431,11.31
1436,10.01
1437,10.81
1439,15.41
1440,16.57
1444,10.97
1447,12.59
1449,10.64
1451,16.09
1452,17.69
1458,9.66
1461,12.97
1462,8.46
1467,12.15
1469,12.51
1472,8.44
1473,9.8
1476,8.96
1479,11.61
1482,17.76
1483,11.28
1485,6.19
1486,15.9
1487,8.59
1489,11.87
1494,14.76
1495,15.51
1497,10.93
1500,12.57
1501,1.55
1508,10.34
1511,9.47
1512,6.72
1513,10.89
1514,13.47
1515,11.81
1517,8.65
1518,9.06
1522,12.34
1524,10.51
1527,10.2
1528,6.27
1529,15.78
1531,13.05
1540,9.81
1542,9.46
1543,11.05
1548,6.06
1551,12.35
1556,1.31
1560,7.12
1562,10.88
1563,14.53
1565,13.37
1569,15.81
1571,10.68
1573,10.28
1574,14.62
1582,8.46
1583,13.59
1584,11.25
1587,10.85
1595,8.82
1600,12.21
1603,9.94
1609,10.85
1610,12.63
1611,10.1
1612,10.03
1616,12.73
1620,17.65
1622,13.03
1624,9.38
1633,11.1
1635,11.67
1638,11.23
1640,10.98
1641,7.82
1645,15.59
1646,16.59
1647,10.41
1648,16.55
1650,12.28
1652,9.41
1659,9.09
1660,2.95
1662,15.52
1663,11.05
1665,16.51
1669,10.84
1670,9.36
1672,7.77
1673,13.24
1680,18.11
1681,6.79
1683,8.02
1684,12.48
1685,11.68
1688,7.65
1689,17.77
1690,10.46
1698,15.41
1699,6.96
1700,0.39
1701,12.55
1703,10.01
1707,12.95
1708,14.94
1710,9.47
1712,16.03
1715,5.79
1718,10.46
1721,15.25
1722,17.55
1724,12.6
1726,12.09
1728,11.39
1731,8.85
1734,13.31
1738,15.96
1745,7.16
1746,17.86
1750,17.84
1752,15.6
1756,10.6
1757,9.27
1759,12.58
1762,12.73
1763,12.22
1764,10.04
1770,5.88
1772,16.29
1773,9.37
1774,12.74
1783,8.38
1784,7.66
1785,2.6
1792,11.47
1797,9.78
1800,12.88
1804,13.18
1808,12.96
1814,14.49
1820,15.44
1822,6.37
1823,11.13
1824,1.56
1825,15.43
1828,6.8
1829,7.49
1837,14.51
1838,1.01
1839,9.49
1841,16.45
1842,15.57
1846,15.03
1848,12.27
1849,11.5
1851,11.43
1855,7.71
1858,8.14
1859,17.15
1861,15.59
1863,10.0
1864,11.6
1865,15.4
1867,6.38
1868,12.17
1870,17.78
1872,10.97
1876,9.62
1878,13.52
1883,15.65
1885,13.65
1887,14.61
1888,5.51
1890,9.91
1894,13.54
1897,8.87
1900,12.64
1905,14.08
1907,15.35
1908,15.29
1914,13.58
1916,12.51
1917,11.29
1924,17.57
1926,12.77
1927,12.89
1931,18.16
1932,12.86
1933,12.61
1934,14.85
1936,12.41
1939,7.44
1943,10.11
1947,9.73
1948,8.79
1949,6.36
1951,6.35
1956,9.88
1957,12.93
1958,0.49
1960,11.64
1965,14.31
1966,17.75
1980,10.42
1981,13.49
1984,0.47
1988,6.33
2003,8.65
2009,17.5
2012,10.01
2013,8.18
2017,10.13
2018,11.18
2019,12.37
2021,9.8
2022,11.41
2025,13.05
2026,10.5
2028,10.68
2032,15.81
2034,12.15
2035,15.82
2036,1.55
2037,14.76
